Date,EUR_USD_Close
2016-05-13,1.13188
2016-05-16,1.13195
2016-05-17,1.1319
2016-05-18,1.12195
2016-05-19,1.1202
2016-05-20,1.1214
2016-05-23,1.12146
2016-05-24,1.11403
2016-05-25,1.11604
2016-05-26,1.11901
2016-05-27,1.1113
2016-05-30,1.1134
2016-05-31,1.11338
2016-06-01,1.11923
2016-06-02,1.1147
2016-06-03,1.13518
2016-06-06,1.13656
2016-06-07,1.1359
2016-06-08,1.13943
2016-06-09,1.1329
2016-06-10,1.1261
2016-06-13,1.1289
2016-06-14,1.1207
2016-06-15,1.1265
2016-06-16,1.123
2016-06-17,1.12802
2016-06-20,1.1306
2016-06-21,1.1249
2016-06-22,1.1304
2016-06-23,1.13449
2016-06-24,1.11219
2016-06-27,1.10132
2016-06-28,1.1057
2016-06-29,1.1107
2016-06-30,1.1087
2016-07-01,1.1131
2016-07-04,1.1142
2016-07-05,1.1068
2016-07-06,1.11048
2016-07-07,1.1054
2016-07-08,1.10553
2016-07-11,1.10617
2016-07-12,1.10639
2016-07-13,1.1097
2016-07-14,1.11221
2016-07-15,1.10698
2016-07-18,1.10716
2016-07-19,1.10175
2016-07-20,1.10173
2016-07-21,1.10184
2016-07-22,1.09726
2016-07-25,1.09903
2016-07-26,1.09904
2016-07-27,1.10483
2016-07-28,1.10726
2016-07-29,1.11836
2016-08-01,1.11614
2016-08-02,1.12245
2016-08-03,1.1147
2016-08-04,1.11279
2016-08-05,1.10874
2016-08-08,1.10826
2016-08-09,1.11111
2016-08-10,1.11741
2016-08-11,1.11439
2016-08-12,1.11594
2016-08-15,1.1184
2016-08-16,1.12753
2016-08-17,1.12814
2016-08-18,1.13541
2016-08-19,1.13276
2016-08-22,1.1323
2016-08-23,1.1307
2016-08-24,1.12634
2016-08-25,1.12822
2016-08-26,1.11985
2016-08-29,1.11867
2016-08-30,1.11403
2016-08-31,1.11588
2016-09-01,1.11972
2016-09-02,1.11602
2016-09-05,1.11467
2016-09-06,1.1257
2016-09-07,1.1244
2016-09-08,1.1254
2016-09-09,1.12268
2016-09-12,1.1234
2016-09-13,1.12125
2016-09-14,1.12471
2016-09-15,1.12426
2016-09-16,1.11532
2016-09-19,1.11791
2016-09-20,1.11565
2016-09-21,1.11827
2016-09-22,1.1202
2016-09-23,1.12321
2016-09-26,1.12572
2016-09-27,1.12183
2016-09-28,1.12113
2016-09-29,1.12172
2016-09-30,1.12332
2016-10-03,1.12146
2016-10-04,1.11976
2016-10-05,1.12112
2016-10-06,1.1144
2016-10-07,1.1191
2016-10-10,1.1133
2016-10-11,1.1054
2016-10-12,1.1014
2016-10-13,1.1049
2016-10-14,1.0981
2016-10-17,1.10001
2016-10-18,1.09804
2016-10-19,1.09687
2016-10-20,1.09266
2016-10-21,1.08724
2016-10-24,1.08743
2016-10-25,1.08881
2016-10-26,1.09064
2016-10-27,1.09015
2016-10-28,1.0976
2016-10-31,1.09763
2016-11-01,1.10579
2016-11-02,1.1088
2016-11-03,1.11097
2016-11-04,1.11222
2016-11-07,1.10461
2016-11-08,1.10234
2016-11-09,1.09225
2016-11-10,1.08913
2016-11-11,1.08434
2016-11-14,1.0739
2016-11-15,1.07187
2016-11-16,1.0681
2016-11-17,1.06223
2016-11-18,1.05934
2016-11-21,1.06182
2016-11-22,1.06252
2016-11-23,1.05546
2016-11-24,1.05691
2016-11-25,1.05922
2016-11-28,1.0596
2016-11-29,1.06418
2016-11-30,1.05986
2016-12-01,1.06482
2016-12-02,1.06639
2016-12-05,1.07604
2016-12-06,1.07151
2016-12-07,1.0764
2016-12-08,1.06181
2016-12-09,1.0551
2016-12-12,1.06336
2016-12-13,1.0622
2016-12-14,1.05213
2016-12-15,1.0415
2016-12-16,1.0434
2016-12-19,1.04033
2016-12-20,1.03872
2016-12-21,1.04285
2016-12-22,1.04356
2016-12-23,1.04513
2016-12-26,1.04492
2016-12-27,1.0455
2016-12-28,1.0413
2016-12-29,1.04851
2016-12-30,1.05316
2017-01-02,1.04679
2017-01-03,1.04134
2017-01-04,1.04657
